game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,havoc,game_loc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (48-7),0,26,40,400,2,30,159,3,5.3,70,8.0,17,6,4,27,5,42,0,0,0.242,1,5.67,78.8,1.0,21.0,40.0,75.0,0.464,1.4
W (45-3),1,24,65.0,287,2,28,99,3,3.5,61,6.3,13,7,2,22,3,40,0,1,0.538,1,5.43,62.7,0.8,16.0,15.0,57.0,0.513,1.19
W (24-14),0,27,33,269,0,44,190,3,4.3,79,5.8,13,14,2,29,6,45,0,0,0.276,1,3.0,67.5,0.556,45.0,28.0,126.0,0.564,0.89
W (49-21),3,28,72.7,394,3,36,188,4,5.2,76,7.7,18,11,2,31,5,40,2,1,0.19,1,6.0,72.3,0.833,27.0,6.0,103.0,0.576,1.22
W (27-20),2,23,35,313,1,30,107,2,3.6,63,6.7,14,5,0,19,3,30,1,1,0.141,0,4.5,0.0,0.667,29.0,16.0,74.0,0.443,1.53
W (56-19),0,31,42,490,6,19,78,2,4.1,61,9.3,18,3,1,22,5,60,0,0,0.208,1,7.0,68.9,0.0,20.0,38.0,45.0,0.5,1.74
W (43-10),2,30,73.8,454,3,22,109,3,5.0,62,9.1,20,6,5,31,7,93,1,1,0.192,1,4.67,73.0,0.333,22.0,29.0,57.0,0.688,1.35
W (41-7),1,29,40,536,4,33,177,1,5.4,72,9.9,18,8,3,29,11,110,0,1,0.263,0,3.73,71.2,1.0,6.0,0.0,29.0,0.688,1.31
W (59-32),1,23,75.0,389,4,30,140,2,4.7,62,8.5,15,8,0,23,9,83,0,1,0.191,1,5.63,72.9,1.0,23.0,18.0,52.0,0.7,1.35
W (31-24),1,30,39,363,0,26,111,4,4.3,66,7.2,17,8,2,27,12,125,1,0,0.147,0,3.88,9.5,0.667,21.0,27.0,79.0,0.571,1.16
W (23-3),1,21,36,237,0,31,143,2,4.6,67,5.7,12,8,2,22,5,41,0,1,0.179,0,3.83,72.3,0.571,45.0,25.0,120.0,0.493,1.02
W (35-7),0,21,58.3,359,3,27,123,2,4.6,60,8.0,14,6,3,23,6,65,0,0,0.178,1,5.6,73.1,1.0,25.0,32.0,67.0,0.458,1.77
W (63-10),2,22,33,358,4,33,204,3,6.2,60,9.4,15,9,0,24,5,40,1,1,0.422,1,7.0,65.8,0.5,16.0,41.0,64.0,0.656,1.7
W (17-14),0,21,63.6,240,0,27,126,2,4.7,65,5.6,14,2,3,19,5,35,0,0,0.109,0,2.0,71.6,0.4,16.0,51.0,73.0,0.359,1.62
W (30-3),0,26,31,280,3,31,122,1,3.9,62,6.5,18,4,4,26,5,35,0,0,0.241,1,4.43,74.4,1.0,13.0,38.0,39.0,0.5,1.57
W (35-7),1,23,83.9,313,2,33,179,3,5.4,61,8.1,14,8,1,23,4,30,0,1,0.389,1,4.0,68.6,0.75,34.0,37.0,93.0,0.56,1.4
W (31-6),4,8,28,143,2,31,169,2,5.5,44,7.1,5,10,0,15,1,10,1,3,0.385,1,3.43,57.8,1.0,34.0,45.0,110.0,0.575,1.04
W (31-7),0,15,82.1,214,1,40,201,2,5.0,61,6.8,9,11,0,20,3,18,0,0,0.147,1,4.0,77.0,0.8,37.0,23.0,106.0,0.51,1.3
W (45-7),0,16,13,187,3,51,249,3,4.9,74,5.9,10,15,1,26,0,0,0,0,0.333,0,5.63,0.0,1.0,45.0,26.0,120.0,0.644,1.13
W (45-24),1,24,32,359,4,34,135,2,4.0,66,7.5,13,7,2,22,7,64,0,1,0.172,1,5.43,69.9,1.0,41.0,30.0,91.0,0.47,1.59
W (66-13),0,18,75.0,248,4,37,306,4,8.3,69,8.0,12,12,2,26,3,45,0,0,0.32,1,5.25,75.8,0.5,26.0,71.0,80.0,0.373,1.9
W (31-29),2,15,32,222,2,34,128,2,3.8,58,6.0,9,7,4,20,5,45,2,0,0.2,0,5.17,70.7,1.0,43.0,30.0,97.0,0.448,1.21
W (31-24),0,21,56.3,289,2,20,22,1,1.1,57,5.5,10,5,1,16,7,60,0,0,0.19,0,4.25,78.3,1.0,6.0,2.0,24.0,0.368,1.54
W (37-10),0,22,36,300,3,39,158,1,4.1,75,6.1,16,7,1,24,5,40,0,0,0.706,1,3.38,62.9,0.5,22.0,34.0,51.0,0.457,1.44
W (34-24),0,24,61.1,349,3,37,105,1,2.8,75,6.1,12,7,4,23,4,40,0,0,0.194,0,3.86,68.5,0.6,19.0,5.0,85.0,0.36,1.57
W (31-10),1,11,38,131,2,31,185,1,6.0,52,6.1,6,7,0,13,6,40,1,0,0.136,1,3.4,68.8,0.5,31.0,63.0,105.0,0.431,1.35
W (38-6),2,19,63.2,328,1,34,175,4,5.1,59,8.5,15,8,1,24,2,20,2,0,0.229,0,4.75,70.0,1.0,18.0,51.0,63.0,0.477,1.68
W (40-14),1,25,21,325,1,51,336,4,6.6,86,7.7,19,14,0,33,4,34,0,1,0.0,1,3.78,100.0,1.0,64.0,127.0,139.0,0.494,1.44
W (81-7),0,33,38,381,4,34,348,7,10.2,72,10.1,21,14,3,38,2,20,0,0,0.294,1,6.6,65.6,1.0,30.0,114.0,66.0,0.722,1.56
W (38-30),0,32,86.8,359,2,31,113,1,3.6,75,6.3,13,7,1,21,14,124,0,0,0.171,0,3.83,71.5,0.5,26.0,9.0,88.0,0.473,1.21
W (55-10),0,26,44,333,4,30,227,3,7.6,64,8.8,12,13,0,25,9,76,0,0,0.323,1,5.13,65.8,0.8,40.0,47.0,85.0,0.513,1.48
W (42-6),1,30,72.7,282,3,38,240,3,6.3,73,7.2,13,13,4,30,9,80,0,1,0.542,1,6.0,72.6,1.0,47.0,51.0,79.0,0.617,1.24
W (42-6),0,28,34,298,4,28,208,2,7.4,61,8.3,13,13,0,26,2,20,0,0,0.279,0,5.0,0.0,1.0,45.0,59.0,85.0,0.617,1.37
