game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
W (34-3),0,23,33,278,2,27,169,2,6.3,60,7.5,0,8,0,19,7,70,0,0,1,1,18,29,142,0,23,46,0,2.0,52,3.6,3,4,3,13,3,15,0,1
W (52-6),0,18,31,234,3,33,170,2,5.2,64,6.3,1,11,1,24,7,45,0,0,1,3,18,29,130,0,35,47,0,1.3,64,2.8,1,5,1,11,5,35,1,2
W (52-0),1,25,33,355,4,41,190,3,4.6,74,7.4,0,10,0,26,3,25,0,1,1,2,13,24,74,0,32,118,0,3.7,56,3.4,1,4,1,11,3,25,0,2
W (63-0),1,12,18,266,3,47,334,6,7.1,65,9.2,2,14,2,25,7,59,1,0,1,2,22,40,103,0,27,42,0,1.6,67,2.2,1,3,1,10,4,40,0,2
W (34-12),1,12,18,235,4,42,222,1,5.3,60,7.6,0,11,0,21,8,60,1,0,0,3,15,29,161,0,37,85,1,2.3,66,3.7,2,10,2,19,1,5,2,1
W (23-13),0,18,30,158,0,34,198,2,5.8,64,5.6,2,8,2,18,11,99,0,0,0,2,12,30,100,0,38,146,1,3.8,68,3.6,3,9,3,17,6,55,0,2
L (13-23),2,12,30,100,0,38,146,1,3.8,68,3.6,3,9,3,17,6,55,0,2,1,0,18,30,158,0,34,198,2,5.8,64,5.6,2,8,2,18,11,99,0,0
W (30-10),1,16,27,121,2,34,148,0,4.4,61,4.4,1,8,1,18,5,70,0,1,1,2,22,36,235,1,22,9,0,0.4,58,4.2,3,2,3,18,3,19,0,2
W (51-3),0,19,29,158,4,36,220,1,6.1,65,5.8,2,12,2,18,7,62,0,0,1,6,12,25,128,0,36,69,0,1.9,61,3.2,1,5,1,13,8,46,4,2
L (21-24),0,19,27,193,0,31,98,2,3.2,58,5.0,2,6,2,20,1,10,0,0,1,0,11,16,146,0,36,190,3,5.3,52,6.5,0,12,0,18,3,35,0,0
W (41-17),1,26,36,385,3,33,144,2,4.4,69,7.7,2,8,2,25,2,26,0,1,0,2,14,26,122,0,28,139,2,5.0,54,4.8,2,8,2,17,2,25,0,2
W (61-39),2,19,31,422,4,26,205,4,7.9,57,11.0,1,9,1,22,9,100,1,1,1,2,24,42,260,3,38,211,2,5.6,80,5.9,4,11,4,30,8,65,0,2
L (27-34),1,22,34,322,2,30,75,1,2.5,64,6.2,3,8,3,21,5,40,0,1,0,0,12,16,190,2,48,181,2,3.8,64,5.8,1,11,1,20,6,65,0,0
W (56-45),1,22,31,280,1,35,371,7,10.6,66,9.9,0,10,0,23,8,90,0,1,0,1,28,50,322,2,35,139,4,4.0,85,5.4,3,9,3,27,4,35,1,0
W (29-24),1,21,35,308,1,34,100,2,2.9,69,5.9,3,5,3,22,11,125,0,1,0,0,15,28,150,2,43,148,1,3.4,71,4.2,5,5,5,16,11,81,0,0
L (12-34),3,15,29,161,0,37,85,1,2.3,66,3.7,2,10,2,19,1,5,2,1,1,1,12,18,235,4,42,222,1,5.3,60,7.6,0,11,0,21,8,60,1,0
W (40-7),1,25,36,284,2,47,223,3,4.7,83,6.1,5,11,5,30,3,35,1,0,1,2,16,26,149,1,24,56,0,2.3,50,4.1,0,5,0,12,9,76,0,2
W (28-14),1,21,36,192,0,46,196,3,4.3,82,4.7,1,13,1,27,3,11,1,0,1,2,12,19,141,0,33,120,2,3.6,52,5.0,0,6,0,13,3,25,1,1
W (28-16),1,28,38,340,3,34,76,1,2.2,72,5.8,1,6,1,17,10,109,1,0,1,1,14,28,202,1,39,51,0,1.3,67,3.8,4,5,4,15,7,44,1,0
W (31-0),1,12,18,169,3,24,148,1,6.2,42,7.5,2,10,2,19,4,45,0,1,1,2,13,19,126,0,12,5,0,0.4,31,4.2,1,1,1,7,4,20,0,2
L (17-41),2,14,26,122,0,28,139,2,5.0,54,4.8,2,8,2,17,2,25,0,2,1,1,26,36,385,3,33,144,2,4.4,69,7.7,2,8,2,25,2,26,0,1
