Team 1,Team 2,Team 1 Probability EWM,Team 2 Probability EWM,Team 1 Probability KAL,Team 2 Probability KAL,Team 1 Probability EWM Prop,Team 2 Probability EWM Prop,Team 1 Probability KAL Prop,Team 2 Probability KAL Prop
memphis,tulane,55.2,44.8,64.9,35.1,55.55,44.45,71.7,28.3
oregon-state,boise-state,36.5,63.5,12.0,88.0,35.95,64.05,2.4,97.6
oklahoma-state,colorado,39.4,60.6,13.2,86.8,38.95,61.05,5.1,94.9
minnesota,wisconsin,53.0,47.0,64.7,35.3,53.1,46.9,70.7,29.3
miami-oh,bowling-green-state,59.3,40.7,85.4,14.6,59.2,40.8,94.6,5.4
ball-state,ohio,37.7,62.3,3.2,96.8,37.8,62.2,0.0,100.0
navy,east-carolina,48.0,52.0,17.8,82.2,47.85,52.15,8.45,91.55
mississippi-state,mississippi,29.2,70.8,2.0,98.0,28.65,71.35,0.3,99.7
utah-state,colorado-state,52.1,47.9,64.2,35.8,51.1,48.9,70.85,29.15
texas-state,south-alabama,52.7,47.3,53.4,46.6,52.15,47.85,54.95,45.05
stanford,san-jose-state,48.8,51.2,51.3,48.7,49.05,50.95,51.6,48.4
georgia-tech,georgia,45.9,54.1,20.6,79.4,46.0,54.0,9.85,90.15
nebraska,iowa,46.3,53.7,34.8,65.2,46.3,53.7,27.2,72.8
utah,central-florida,22.0,78.0,1.9,98.1,20.8,79.2,0.05,99.95
michigan,ohio-state,48.2,51.8,51.1,48.9,48.15,51.85,52.25,47.75
tennessee,vanderbilt,69.4,30.6,95.2,4.8,70.0,30.0,99.9,0.1
south-carolina,clemson,62.2,37.8,95.9,4.1,62.3,37.7,99.65,0.35
illinois,northwestern,70.6,29.4,95.1,4.9,71.3,28.7,99.65,0.35
louisville,kentucky,68.0,32.0,98.1,1.9,68.25,31.75,100.0,0.0
connecticut,massachusetts,47.8,52.2,47.7,52.3,47.7,52.3,46.55,53.45
duke,wake-forest,61.0,39.0,73.1,26.9,61.2,38.8,81.05,18.95
kansas,baylor,53.3,46.7,65.7,34.3,53.25,46.75,72.85,27.15
west-virginia,texas-tech,55.8,44.2,74.8,25.2,55.75,44.25,82.9,17.1
texas-san-antonio,army,52.6,47.4,72.0,28.0,52.7,47.3,80.7,19.3
north-texas,temple,59.0,41.0,79.4,20.6,59.0,41.0,87.6,12.4
eastern-michigan,western-michigan,40.1,59.9,11.5,88.5,39.9,60.1,3.6,96.4
coastal-carolina,georgia-state,45.1,54.9,15.3,84.7,44.85,55.15,4.75,95.25
southern-mississippi,troy,27.0,73.0,0.6,99.4,26.25,73.75,0.0,100.0
south-florida,rice,60.0,40.0,96.4,3.6,60.3,39.7,99.65,0.35
pittsburgh,boston-college,34.0,66.0,4.1,95.9,33.5,66.5,0.05,99.95
old-dominion,arkansas-state,53.6,46.4,52.6,47.4,53.65,46.35,54.6,45.4
maryland,penn-state,16.9,83.1,0.4,99.6,16.05,83.95,0.0,100.0
notre-dame,southern-california,75.7,24.3,99.2,0.8,76.5,23.5,100.0,0.0
miami-fl,syracuse,65.8,34.2,91.9,8.1,66.4,33.6,98.8,1.2
california,southern-methodist,44.6,55.4,24.5,75.5,44.35,55.65,16.85,83.15
auburn,alabama,54.2,45.8,68.2,31.8,54.35,45.65,76.15,23.85
arizona-state,arizona,71.1,28.9,97.6,2.4,71.6,28.4,100.0,0.0
arkansas,missouri,44.6,55.4,22.3,77.7,44.45,55.55,12.3,87.7
rutgers,michigan-state,63.5,36.5,80.1,19.9,64.0,36.0,89.0,11.0
fresno-state,ucla,53.9,46.1,65.1,34.9,54.3,45.7,71.4,28.6
north-carolina-state,north-carolina,47.7,52.3,35.7,64.3,47.45,52.55,29.1,70.9
central-michigan,northern-illinois,43.0,57.0,17.3,82.7,42.95,57.05,7.2,92.8
alabama-birmingham,charlotte,42.9,57.1,21.0,79.0,42.8,57.2,12.3,87.7
florida-atlantic,tulsa,48.3,51.7,41.1,58.9,48.8,51.2,37.65,62.35
texas-el-paso,new-mexico-state,37.3,62.7,2.4,97.6,36.8,63.2,0.2,99.8
texas-christian,cincinnati,68.1,31.9,97.7,2.3,68.3,31.7,99.9,0.1
appalachian-state,georgia-southern,58.2,41.8,79.1,20.9,59.0,41.0,88.5,11.5
wyoming,washington-state,35.7,64.3,6.4,93.6,35.55,64.45,1.25,98.75
purdue,indiana,26.0,74.0,0.7,99.3,26.05,73.95,0.0,100.0
florida,florida-state,70.0,30.0,98.4,1.6,70.35,29.65,99.9,0.1
oklahoma,louisiana-state,46.4,53.6,29.8,70.2,46.4,53.6,19.1,80.9
washington,oregon,39.8,60.2,18.8,81.2,39.0,61.0,6.7,93.3
texas,texas-am,59.2,40.8,80.4,19.6,59.35,40.65,90.2,9.8
kansas-state,iowa-state,55.5,44.5,63.8,36.2,55.6,44.4,72.1,27.9
nevada,nevada-las-vegas,29.2,70.8,2.4,97.6,28.65,71.35,0.1,99.9
virginia,virginia-tech,40.1,59.9,12.7,87.3,40.1,59.9,3.15,96.85
marshall,james-madison,60.5,39.5,95.7,4.3,60.5,39.5,99.45,0.55
houston,brigham-young,29.0,71.0,2.7,97.3,28.15,71.85,0.15,99.85
air-force,san-diego-state,53.6,46.4,56.0,44.0,54.3,45.7,59.4,40.6
new-mexico,hawaii,61.2,38.8,90.4,9.6,61.05,38.95,97.9,2.1
