north-carolina,boston-college
massachusetts,georgia
texas-el-paso,tennessee
bowling-green-state,ball-state
rice,alabama-birmingham
james-madison,appalachian-state
arizona,texas-christian
south-alabama,southern-mississippi
charlotte,florida-atlantic
kentucky,texas
penn-state,minnesota
brigham-young,arizona-state
colorado,kansas
northwestern,michigan
wisconsin,nebraska
stanford,california
texas-tech,oklahoma-state
central-florida,west-virginia
san-diego-state,utah-state
georgia-southern,coastal-carolina
east-carolina,north-texas
tulsa,south-florida
pittsburgh,louisville
missouri,mississippi-state
army,notre-dame
boise-state,wyoming
washington-state,oregon-state
baylor,houston
georgia-state,texas-state
alabama,oklahoma
texas-am,auburn
iowa-state,utah
marshall,old-dominion
vanderbilt,louisiana-state
cincinnati,kansas-state
virginia-tech,duke
southern-california,ucla
air-force,nevada
colorado-state,fresno-state
