game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
W (45-3),1,24,33,287,2,28,99,3,3.5,61,6.3,2,7,2,22,3,40,0,1,1,3,18,37,147,0,28,77,0,2.8,65,3.4,1,3,1,13,3,27,0,3
W (49-21),3,28,40,394,3,36,188,4,5.2,76,7.7,2,11,2,31,5,40,2,1,1,1,32,51,250,2,26,86,1,3.3,77,4.4,0,7,0,20,4,29,0,1
W (51-13),1,33,42,435,5,31,173,1,5.6,73,8.3,2,10,2,34,6,59,0,1,1,0,10,26,128,2,24,55,0,2.3,50,3.7,1,4,1,12,5,60,0,0
W (30-3),0,26,31,280,3,31,122,1,3.9,62,6.5,4,4,4,26,5,35,0,0,1,1,17,29,132,0,26,103,0,4.0,55,4.3,0,7,0,12,10,88,0,1
W (31-6),4,8,13,143,2,31,169,2,5.5,44,7.1,0,10,0,15,1,10,1,3,1,3,14,21,124,0,36,81,0,2.3,57,3.6,0,5,0,10,2,15,1,2
W (45-7),0,16,23,187,3,51,249,3,4.9,74,5.9,1,15,1,26,0,0,0,0,0,1,14,25,199,0,21,106,1,5.0,46,6.6,0,3,0,10,4,30,0,1
W (52-7),0,19,22,244,4,42,163,3,3.9,64,6.4,1,9,1,23,2,20,0,0,1,4,14,29,140,1,33,92,0,2.8,62,3.7,0,9,0,15,5,47,2,2
W (23-3),1,21,36,237,0,31,143,2,4.6,67,5.7,2,8,2,22,5,41,0,1,0,0,9,21,82,0,33,71,0,2.2,54,2.8,2,3,2,10,8,75,0,0
W (17-14),0,21,38,240,0,27,126,2,4.7,65,5.6,3,2,3,19,5,35,0,0,0,0,17,25,175,1,39,176,1,4.5,64,5.5,1,10,1,22,4,50,0,0
W (41-7),2,17,30,334,4,39,152,2,3.9,69,7.0,2,10,2,24,9,51,2,0,0,0,14,35,134,1,35,123,0,3.5,70,3.7,2,10,2,15,5,41,0,0
