game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,havoc,game_loc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (39-21),0,3,3,84,0,64,344,5,5.4,68,6.3,3,21,0,24,6,60,0,0,0.385,1,5.43,66.2,0.909,64.0,33.0,226.0,0.661,0.87
W (24-21),5,25,58.6,266,1,25,4,0,0.2,59,4.6,10,7,0,17,8,70,2,3,0.203,1,1.25,54.9,0.5,6.0,3.0,-1.0,0.349,1.17
L (24-34),2,14,70.8,255,2,35,107,0,3.1,62,5.8,10,7,1,18,10,90,0,2,0.12,1,3.25,75.3,1.0,33.0,21.0,93.0,0.355,1.6
L (34-40),1,22,75.0,275,2,44,219,2,5.0,87,5.7,16,11,3,30,7,70,0,1,0.087,0,3.86,77.8,0.667,52.0,16.0,151.0,0.432,1.5
L (24-31),5,33,76.9,340,2,25,91,1,3.6,72,6.0,16,4,3,23,5,55,1,4,0.132,0,4.8,78.2,0.8,28.0,6.0,58.0,0.464,1.19
L (15-27),1,16,58.1,167,1,34,110,1,3.2,63,4.4,4,10,1,15,4,30,0,1,0.129,1,3.5,77.7,0.7,33.0,11.0,98.0,0.381,1.34
W (28-6),0,13,80.0,136,2,45,172,1,3.8,64,4.8,6,11,2,19,4,34,0,0,0.255,1,5.25,79.1,1.0,45.0,30.0,177.0,0.529,0.98
L (3-37),4,22,48.1,166,0,30,64,0,2.1,71,3.2,11,5,2,18,3,40,2,2,0.161,1,0.75,75.2,0.0,17.0,17.0,50.0,0.309,1.11
W (57-0),1,11,50.0,238,3,43,281,5,6.5,58,8.9,7,15,1,23,4,50,1,0,0.317,1,5.25,52.2,1.0,18.0,3.0,61.0,0.552,1.61
W (14-10),4,10,56.0,94,2,38,136,0,3.6,55,4.2,5,6,1,12,7,56,3,1,0.145,0,7.0,70.2,0.5,33.0,19.0,111.0,0.426,1.17
